churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
C-f78dc9,A-1619f8,2024-09-21,budget,0.0,False,False,False,Non fourni
C-fab429,A-180abf,2024-09-12,support,0.0,False,False,False,Non fourni
C-23df1e,A-18793f,2024-12-30,support,25.41,True,False,False,Non fourni
C-de3fd0,A-19b2c8,2024-08-16,pricing,0.0,False,False,False,missing features
C-488b42,A-1b707d,2023-07-21,competitor,0.0,False,False,True,missing features
C-bedd8c,A-1b9609,2024-11-16,unknown,0.0,False,False,False,Non fourni
C-aee993,A-1d5444,2024-06-01,support,0.0,False,False,False,too expensive
C-fcbd6e,A-1e1b80,2024-11-13,features,0.0,False,False,False,switched to competitor
C-1f9cf2,A-1e50e0,2024-04-26,pricing,0.0,False,False,False,switched to competitor
C-056c32,A-1e6fc3,2024-03-20,pricing,0.0,False,False,False,switched to competitor
C-109d03,A-1f0ac7,2024-11-08,support,0.0,True,False,False,missing features
C-5e0b68,A-1f559b,2024-09-28,features,0.0,False,False,False,Non fourni
C-260dec,A-202b67,2024-09-14,pricing,9.28,False,False,False,Non fourni
C-8bf15d,A-20736a,2024-03-19,competitor,64.98,False,False,False,too expensive
C-0ba0a0,A-22d9d2,2024-10-17,pricing,0.0,False,False,False,Non fourni
C-95a18e,A-241e75,2024-12-19,features,0.0,True,False,False,switched to competitor
C-23b1d0,A-2446e3,2024-07-29,unknown,47.06,False,False,False,Non fourni
C-acbc2b,A-249769,2024-12-16,budget,0.0,False,False,False,Non fourni
C-f81017,A-271f46,2024-08-09,features,0.0,False,False,True,missing features
C-248550,A-2922b6,2024-12-25,competitor,0.0,False,False,False,missing features
C-5b6094,A-296d7c,2024-11-04,budget,0.0,False,False,False,too expensive
C-9b6151,A-2bc93d,2024-08-15,competitor,99.1,False,False,True,switched to competitor
C-f6f8a5,A-2d1036,2024-10-28,pricing,39.09,True,False,True,switched to competitor
C-e91da6,A-2d4502,2024-05-07,pricing,0.0,True,False,False,Non fourni
C-6c63bc,A-2e3bad,2024-03-30,features,0.0,False,False,False,missing features
C-cea92d,A-2e4581,2024-12-05,competitor,0.0,True,False,False,Non fourni
C-486194,A-2ebb4b,2024-12-29,features,0.0,True,False,True,missing features
C-7d6220,A-2edab2,2024-06-23,features,0.0,False,False,False,too expensive
C-49868d,A-309e54,2024-12-14,support,106.67,False,False,False,missing features
C-dd2ad2,A-30b4ca,2024-09-01,features,0.0,False,False,False,Non fourni
C-8fcdf5,A-310452,2024-12-27,budget,0.0,False,False,False,too expensive
C-13ca3a,A-313be3,2024-03-23,features,43.03,False,False,False,too expensive
C-480232,A-31ab9a,2024-09-23,competitor,0.0,False,False,True,too expensive
C-f1268a,A-32728c,2024-07-19,budget,7.58,True,False,True,missing features
C-f51f1d,A-32fb14,2024-04-28,competitor,0.0,False,False,False,too expensive
C-9775db,A-331424,2024-02-21,competitor,0.0,False,False,False,switched to competitor
C-5f93ed,A-337bc1,2023-12-16,unknown,0.0,False,False,False,missing features
C-fa1c87,A-342303,2024-03-20,features,0.0,False,False,False,switched to competitor
C-326d32,A-34d880,2024-12-20,unknown,10.4,False,False,False,missing features
C-3018d4,A-34ea2f,2024-10-19,unknown,1.85,True,False,False,too expensive
C-1cf079,A-354f12,2024-09-19,competitor,0.0,False,True,False,missing features
C-66b3fa,A-378b99,2024-10-12,pricing,0.0,False,False,False,switched to competitor
C-ae15f4,A-3793ee,2023-06-16,unknown,0.0,False,False,False,Non fourni
C-8d3540,A-37f969,2024-12-12,competitor,50.41,False,False,False,Non fourni
C-762dd4,A-396e5f,2024-11-30,features,0.0,False,False,False,too expensive
C-917c1d,A-39868b,2024-05-24,budget,0.0,True,False,True,too expensive
C-4dc992,A-39b19f,2023-03-11,unknown,0.0,False,False,False,Non fourni
C-65ad11,A-39ddf4,2024-12-13,support,0.0,False,False,False,Non fourni
C-9c89ca,A-3a7284,2024-12-26,unknown,0.0,False,False,False,missing features
C-8a3bc6,A-3b37d9,2024-10-13,support,0.0,False,False,False,switched to competitor
C-c54ef0,A-3b5cd1,2024-08-30,unknown,77.87,False,False,False,missing features
C-8203f3,A-3be56b,2024-06-20,pricing,0.0,False,False,False,switched to competitor
C-a41660,A-3cc791,2024-10-09,features,0.0,False,False,True,Non fourni
C-c89493,A-3ce5b8,2024-09-18,features,261.49,False,False,False,too expensive
C-fa6149,A-3d957b,2024-05-05,budget,0.0,False,False,False,too expensive
C-08d3b3,A-3f9cc0,2024-12-21,budget,0.0,False,False,True,switched to competitor
C-9776b7,A-40a557,2023-12-08,budget,0.0,False,False,False,switched to competitor
C-e4261a,A-417d2f,2024-12-30,budget,0.0,False,False,False,missing features
C-ae47d1,A-425e76,2024-10-22,competitor,0.0,False,False,False,switched to competitor
C-d85c26,A-42e5e1,2024-10-04,pricing,0.0,False,False,True,too expensive
C-f3aca2,A-439b2f,2024-11-18,features,0.0,False,False,False,switched to competitor
C-458075,A-4437e4,2024-06-21,features,0.0,False,False,False,too expensive
C-8b229b,A-44dc83,2024-11-29,unknown,98.48,False,True,False,missing features
C-a1253e,A-462d45,2024-05-17,competitor,0.0,False,False,False,missing features
C-ddade1,A-463db0,2024-12-30,features,0.0,False,False,True,Non fourni
C-85e84b,A-4814a3,2024-11-25,pricing,0.0,False,False,False,too expensive
C-7cace4,A-484819,2023-12-29,support,0.0,False,False,False,Non fourni
C-1172fe,A-4a267b,2024-06-17,support,64.54,False,False,False,missing features
C-b6997d,A-4ae22a,2024-07-20,pricing,0.0,False,False,False,Non fourni
C-a666a4,A-4bfa33,2024-12-28,unknown,7.26,True,False,False,switched to competitor
C-7690f5,A-4c56c9,2024-04-05,budget,44.23,True,False,False,missing features
C-6ab303,A-4c6f11,2024-10-18,competitor,0.0,False,False,False,too expensive
C-13f833,A-4d1e75,2024-09-05,budget,0.0,False,False,False,missing features
C-0e273d,A-4e0e85,2024-03-14,pricing,0.0,False,False,False,Non fourni
C-860574,A-4e44e8,2024-10-11,budget,0.0,False,False,True,switched to competitor
C-d20b00,A-4ef964,2024-06-19,budget,0.0,True,False,False,too expensive
C-990050,A-4f18f0,2024-12-01,features,0.0,False,False,False,missing features
C-a761a8,A-50bb9f,2024-09-12,unknown,0.0,False,True,True,too expensive
C-76d762,A-51ec1b,2023-12-09,unknown,0.0,True,False,True,too expensive
C-23a031,A-5247b3,2024-10-16,pricing,0.0,False,False,False,Non fourni
C-cc8de6,A-526d93,2024-09-25,support,0.0,True,False,False,missing features
C-ec714a,A-533452,2024-12-16,support,15.23,False,False,False,missing features
C-48c0c8,A-53f4e3,2024-12-06,competitor,0.0,False,True,True,too expensive
C-4a3e8e,A-54ecc2,2024-11-23,support,0.0,True,False,False,Non fourni
C-0baa74,A-558c72,2024-11-28,support,43.01,False,False,False,switched to competitor
C-1f4cc0,A-56962b,2024-08-26,pricing,0.0,True,False,False,Non fourni
C-e8f3f5,A-5790f4,2024-12-31,competitor,0.0,True,False,False,too expensive
C-79999b,A-58b9ff,2024-10-10,pricing,0.0,False,False,False,too expensive
C-3292be,A-592832,2024-10-04,support,22.66,False,False,False,switched to competitor
C-494a16,A-5a184f,2024-09-11,support,0.0,False,False,False,switched to competitor
C-ed4dcb,A-5a3eb9,2024-06-12,competitor,58.37,False,False,False,missing features
C-48906a,A-5a92e7,2024-11-11,budget,0.0,True,False,False,missing features
C-d8d1fd,A-5b1bcd,2024-08-07,competitor,4.45,False,False,False,Non fourni
C-49de12,A-5c9849,2024-11-13,unknown,0.0,False,True,False,too expensive
C-9bb1b6,A-5ed98d,2024-10-02,competitor,0.0,False,True,False,missing features
C-258ade,A-5f2961,2024-11-28,pricing,6.6,False,False,False,switched to competitor
C-a860c5,A-5f7781,2024-12-25,pricing,0.0,False,False,False,Non fourni
C-190a42,A-5fe118,2024-12-16,features,114.86,False,False,False,Non fourni
C-bb9db4,A-659280,2024-11-22,pricing,27.75,False,False,False,switched to competitor
C-118bea,A-65aeb5,2024-12-02,budget,0.0,True,False,True,missing features
C-f49d4c,A-65c341,2024-12-16,unknown,0.0,False,False,False,switched to competitor
C-575802,A-67be94,2024-06-30,competitor,13.72,False,False,False,too expensive
C-be8018,A-684255,2024-07-03,unknown,0.0,False,False,False,too expensive
C-14ac13,A-68f37c,2024-12-18,features,0.0,False,False,True,too expensive
C-2cccb0,A-692f18,2024-12-23,support,0.0,True,False,False,switched to competitor
C-7e5a22,A-6965e1,2024-12-09,features,0.0,False,False,False,Non fourni
C-b6b828,A-69fad4,2024-06-17,support,0.0,False,False,False,Non fourni
C-57871b,A-6a4e2d,2024-07-19,budget,0.0,False,False,False,Non fourni
C-a403fc,A-6a7c9d,2024-11-21,support,0.0,False,False,False,too expensive
C-f208d4,A-6da850,2024-10-25,competitor,0.0,False,False,False,missing features
C-54ce4f,A-6dee43,2024-01-14,pricing,143.8,False,False,False,switched to competitor
C-f518d9,A-6e08f3,2024-02-10,competitor,0.0,False,False,True,Non fourni
C-f46a9e,A-6e7827,2024-04-09,features,0.0,False,False,False,missing features
C-474d36,A-6f50ae,2024-02-26,features,0.0,False,False,True,Non fourni
C-b56a35,A-702032,2024-06-14,competitor,0.0,False,False,False,switched to competitor
C-2c410a,A-712426,2024-12-23,features,0.0,True,False,True,missing features
C-974322,A-712533,2024-07-18,unknown,0.0,True,False,False,missing features
C-2cec1c,A-712f1c,2024-10-24,budget,68.99,False,False,False,Non fourni
C-885a34,A-71615e,2024-07-16,pricing,0.0,True,False,False,missing features
C-192e1d,A-716841,2024-11-13,unknown,0.0,False,False,False,too expensive
C-b7dfcd,A-726cfa,2024-08-08,support,122.11,False,False,False,too expensive
C-2d659a,A-72799b,2024-05-05,pricing,0.0,True,False,False,switched to competitor
C-ee531b,A-751bd4,2024-09-22,budget,0.0,False,False,False,Non fourni
C-1dce6d,A-751c58,2024-12-16,budget,0.0,False,False,False,too expensive
C-18b303,A-7641d3,2024-06-07,unknown,96.35,False,False,False,missing features
C-217360,A-76fa4d,2024-12-03,pricing,31.49,False,False,False,too expensive
C-e26b7f,A-781cc0,2024-12-09,budget,0.0,True,False,False,too expensive
C-fd2fe4,A-78f02b,2024-12-09,budget,0.0,False,False,False,too expensive
C-555f55,A-794a0b,2024-09-09,budget,0.0,False,True,False,switched to competitor
C-193426,A-7988d1,2024-12-24,unknown,0.0,False,False,False,missing features
C-8d834b,A-798a3f,2024-07-19,support,0.0,False,False,False,Non fourni
C-0d470e,A-7a0d69,2024-12-29,budget,0.0,True,False,False,Non fourni
C-6e6bcf,A-7c6b6b,2024-12-09,budget,0.0,False,False,False,too expensive
C-4691eb,A-7c83a1,2024-05-19,unknown,0.0,True,False,False,Non fourni
C-8153b7,A-7cfe77,2024-12-19,features,0.0,False,True,False,missing features
C-aa3075,A-7dacce,2024-12-27,budget,0.0,False,False,False,missing features
C-2e2a3f,A-7df7a7,2024-07-10,budget,0.0,False,False,False,missing features
C-915973,A-7e0a10,2024-09-26,budget,0.0,False,False,False,missing features
C-95f56e,A-7f29a7,2024-10-09,unknown,23.97,True,False,False,switched to competitor
C-ced436,A-7f4db3,2023-03-21,support,0.0,True,False,False,missing features
C-cf246e,A-7f6b86,2024-07-10,pricing,5.27,False,False,False,Non fourni
C-5f203c,A-80eeb6,2024-02-09,budget,0.0,False,False,False,too expensive
C-742a59,A-812c5b,2024-05-11,support,11.83,False,False,False,missing features
C-ad7ea3,A-8145a0,2023-07-12,features,0.0,False,False,False,missing features
C-58deed,A-81edc3,2024-12-16,support,0.0,False,False,False,too expensive
C-155feb,A-82861f,2024-05-17,support,0.0,False,False,False,Non fourni
C-97ab4b,A-82d8a6,2024-12-29,features,0.0,False,False,False,switched to competitor
C-ca5f4b,A-832ec2,2024-09-15,pricing,0.0,True,False,False,switched to competitor
C-2bf465,A-84ebe4,2024-01-20,support,0.0,False,False,False,missing features
C-26865a,A-854864,2024-12-24,support,8.47,True,False,False,switched to competitor
C-2e9b92,A-855a48,2024-08-01,unknown,7.92,False,False,False,too expensive
C-66c9fe,A-86902e,2024-12-07,features,0.0,False,False,False,Non fourni
C-67d3e1,A-86fc1d,2024-08-12,support,0.0,True,False,False,Non fourni
C-450414,A-87aa7b,2024-12-26,budget,0.0,True,False,False,switched to competitor
C-29b7f7,A-8ae05d,2024-08-30,unknown,0.0,False,False,False,missing features
C-499165,A-8ae3fc,2024-08-10,budget,0.0,False,False,False,Non fourni
C-d7de9d,A-8b0451,2024-12-29,budget,0.0,False,False,False,too expensive
C-8d2855,A-8bde0c,2024-12-30,pricing,0.0,False,False,False,Non fourni
C-bfcee5,A-8e47ca,2024-12-31,support,0.0,False,False,False,missing features
C-ff002d,A-8ed5dd,2024-11-02,unknown,0.0,False,False,False,Non fourni
C-fb2a95,A-902ef7,2024-09-26,pricing,0.0,False,False,False,too expensive
C-92f5cb,A-90a8c8,2024-08-29,support,0.0,False,False,False,missing features
C-efed73,A-9123ac,2024-10-23,competitor,0.0,True,False,False,missing features
C-02604c,A-9208f0,2024-11-09,features,0.0,False,False,True,too expensive
C-c6f6fe,A-922109,2024-12-17,support,0.0,False,False,False,Non fourni
C-3b6b00,A-9289f6,2023-08-24,support,17.93,False,False,False,too expensive
C-a9e0c4,A-94d3da,2024-04-12,competitor,0.0,False,False,False,switched to competitor
C-bb53cb,A-94f8c9,2024-05-02,budget,0.0,False,False,False,Non fourni
C-92f889,A-956988,2024-12-30,unknown,0.0,False,True,True,too expensive
C-d716da,A-96bbc6,2024-12-21,budget,125.6,False,False,False,missing features
C-b4b58e,A-96e141,2024-09-22,budget,0.0,False,False,False,too expensive
C-7befdc,A-9779ad,2024-08-11,features,0.0,False,False,False,too expensive
C-fcfc3c,A-98a59a,2024-09-11,support,0.0,True,False,False,switched to competitor
C-576ecc,A-993085,2024-01-21,features,0.0,False,False,False,Non fourni
C-47cdaa,A-9affe6,2024-01-12,features,83.06,False,False,False,missing features
C-16ef52,A-9b9fe9,2024-09-04,features,0.0,False,False,False,switched to competitor
C-600a7c,A-9ee962,2024-10-03,support,0.0,False,True,False,Non fourni
C-c4582f,A-9f0b68,2024-11-01,pricing,0.0,True,False,False,Non fourni
C-a119b0,A-9f2731,2024-12-09,unknown,136.94,False,False,False,missing features
C-1965c1,A-9f9299,2024-10-08,competitor,0.0,False,False,False,Non fourni
C-675c0a,A-a09355,2024-10-18,support,135.11,False,False,False,Non fourni
C-d33672,A-a1b80b,2024-07-11,budget,12.99,False,False,True,switched to competitor
C-ef9abf,A-a33200,2024-10-07,features,21.61,True,False,False,too expensive
C-d84a6d,A-a45270,2024-11-12,pricing,0.0,False,False,False,missing features
C-b60cf0,A-a6d261,2024-03-10,unknown,99.94,True,False,False,missing features
C-edb201,A-a7bd4b,2024-10-15,features,0.0,False,False,False,too expensive
C-8eda06,A-a865bd,2024-03-18,unknown,0.0,False,False,False,Non fourni
C-3f2f59,A-a8b49c,2024-06-17,features,0.0,False,False,False,missing features
C-cd7797,A-a8d89d,2024-08-26,pricing,0.0,False,False,False,Non fourni
C-e601dc,A-aa9511,2023-10-17,competitor,0.0,False,False,False,Non fourni
C-ac34ca,A-ab438f,2024-12-02,budget,0.0,True,True,False,Non fourni
C-f180f4,A-ac14bb,2024-10-01,competitor,0.0,False,False,False,too expensive
C-36d17e,A-ac85cd,2024-12-13,pricing,102.39,False,False,True,Non fourni
C-75abb3,A-ac9111,2024-06-25,budget,0.0,True,False,False,missing features
C-61ced5,A-acb7f7,2024-03-21,competitor,0.0,True,False,False,missing features
C-2f61e8,A-ad3abd,2023-07-12,competitor,0.0,False,False,False,Non fourni
C-811879,A-ad64c6,2024-07-29,unknown,0.0,True,False,False,Non fourni
C-b0b16c,A-ae052e,2024-12-14,competitor,0.0,False,False,False,too expensive
C-481838,A-af0cd2,2023-10-26,unknown,0.0,False,True,False,switched to competitor
C-2c86b1,A-afa505,2024-03-02,support,0.0,True,False,False,missing features
C-a174be,A-b07346,2024-11-12,budget,0.0,False,False,False,missing features
C-bd5b55,A-b07b56,2024-12-24,budget,0.0,False,False,False,switched to competitor
C-a6d0e1,A-b179bf,2024-12-05,features,0.0,False,False,False,missing features
C-a8ac26,A-b20d99,2024-03-04,features,0.0,False,False,False,missing features
C-043665,A-b2225d,2024-06-27,budget,0.0,False,False,True,Non fourni
C-9a1ccc,A-b2af2e,2024-11-14,pricing,0.0,False,False,False,Non fourni
C-2fc9c4,A-b30291,2024-09-03,competitor,277.54,False,True,False,too expensive
C-fe7ee4,A-b44e3e,2024-04-14,unknown,0.0,False,False,False,switched to competitor
C-515343,A-b54c01,2024-10-23,budget,0.0,True,False,False,too expensive
C-e49016,A-b7724f,2024-09-01,competitor,111.42,False,False,True,switched to competitor
C-736efa,A-b78bf8,2024-12-06,unknown,0.0,False,False,False,Non fourni
C-f67026,A-b7ef83,2024-07-24,budget,60.25,True,False,False,missing features
C-8d2bf5,A-b9eed8,2024-04-23,pricing,0.0,True,False,True,switched to competitor
C-875dc5,A-b9f5b1,2023-07-21,features,0.0,False,False,False,switched to competitor
C-b411ad,A-ba6516,2024-03-17,budget,0.0,False,False,False,Non fourni
C-a77cbf,A-bad8c1,2023-10-04,unknown,0.0,False,False,True,too expensive
C-b6bc5f,A-bb1486,2024-11-23,competitor,0.0,False,True,True,switched to competitor
C-5d5768,A-bb1eaa,2024-08-15,pricing,0.0,False,True,False,too expensive
C-ba8af4,A-bb3bd4,2024-06-30,unknown,0.0,False,False,False,missing features
C-07ec1f,A-bbc346,2024-11-03,competitor,15.46,False,False,False,switched to competitor
C-2886ac,A-bcbe98,2024-11-25,competitor,0.0,False,False,False,missing features
C-17044c,A-bcf664,2024-10-04,features,75.32,False,False,True,too expensive
C-bd5e5e,A-bd4513,2024-12-09,budget,35.14,False,False,False,too expensive
C-7f85f4,A-bece89,2024-07-27,unknown,53.61,False,False,False,switched to competitor
C-2608a3,A-bf7919,2024-12-17,features,0.0,False,True,False,too expensive
C-33fc6a,A-c16101,2024-12-19,features,0.0,False,True,False,Non fourni
C-27e9c1,A-c16b88,2024-06-01,competitor,0.0,True,False,False,switched to competitor
C-065699,A-c16cf7,2024-12-07,support,0.0,False,False,False,too expensive
C-a8e84b,A-c1dfe1,2024-06-06,features,0.0,False,False,False,missing features
C-5f450a,A-c1e51e,2024-12-20,support,0.0,False,False,False,switched to competitor
C-cdb4d0,A-c222ab,2024-10-05,support,0.0,False,False,False,Non fourni
C-d47c85,A-c37601,2024-12-17,support,0.0,False,False,False,switched to competitor
C-4bbb74,A-c37cab,2024-11-16,competitor,0.0,False,False,False,missing features
C-54993f,A-c43359,2024-12-19,support,8.92,False,False,False,missing features
C-2447b3,A-c45b23,2024-03-24,support,0.0,False,False,True,missing features
C-9c4603,A-c58f49,2024-09-21,support,7.6,False,False,False,switched to competitor
C-c5b2e8,A-c608c8,2024-06-04,support,0.0,False,False,False,too expensive
C-5d5a64,A-c70870,2024-12-13,competitor,0.0,False,False,False,switched to competitor
C-2d0569,A-c7ffc2,2023-11-11,features,174.92,False,False,False,missing features
C-f8d15f,A-c9bb3e,2024-10-03,unknown,0.0,False,False,False,Non fourni
C-d2077d,A-cab532,2024-07-10,support,0.0,True,False,False,too expensive
C-4f6e40,A-cb5333,2024-08-11,features,0.0,False,False,False,too expensive
C-e20cc6,A-cc102e,2024-11-19,pricing,0.0,False,False,False,too expensive
C-17fb24,A-cc1d8d,2024-12-19,unknown,217.22,False,False,False,too expensive
C-64ba8a,A-cc8c8f,2024-09-12,budget,0.0,True,False,False,missing features
C-e6a0f0,A-ccabf0,2024-10-31,features,0.0,False,False,False,too expensive
C-02a354,A-ccb686,2024-11-24,competitor,25.92,False,False,False,Non fourni
C-ca81a1,A-ccc747,2024-09-02,competitor,0.0,False,False,False,switched to competitor
C-a4f797,A-cd458b,2024-11-07,budget,0.0,False,False,False,switched to competitor
C-3efa9b,A-cdf020,2024-11-07,support,0.0,False,False,True,too expensive
C-2cec7e,A-ce550d,2024-12-28,budget,0.0,True,False,False,too expensive
C-92da55,A-d26ab4,2024-12-26,pricing,86.02,False,False,False,too expensive
C-22d30d,A-d3c88e,2024-11-18,support,0.0,False,False,False,too expensive
C-156544,A-d42431,2024-10-12,budget,17.42,True,False,False,switched to competitor
C-0a0bf7,A-d49cc5,2024-04-12,competitor,0.0,False,False,False,missing features
C-7f909a,A-d535f6,2024-11-26,features,0.0,False,False,False,switched to competitor
C-fad4d3,A-d77f4c,2024-12-03,unknown,0.0,False,False,False,too expensive
C-b8127e,A-d792a6,2024-08-13,support,0.0,False,False,False,missing features
C-cc90be,A-d82ef9,2024-08-06,budget,74.94,False,False,False,switched to competitor
C-88a176,A-d922bf,2024-12-06,support,11.13,False,True,False,too expensive
C-5f43c3,A-db5e9e,2024-12-29,pricing,0.0,False,False,False,missing features
C-7e7822,A-dbc825,2024-02-03,budget,0.0,False,False,False,Non fourni
C-df72bb,A-dcc2f0,2024-04-10,features,0.0,True,False,False,Non fourni
C-8eba65,A-dcc3f1,2024-10-10,features,0.0,False,False,False,switched to competitor
C-573a5c,A-dec005,2024-11-23,support,0.0,False,False,False,missing features
C-6b610a,A-df10db,2024-07-12,competitor,0.0,False,False,False,missing features
C-5cd282,A-df1e44,2024-11-20,budget,0.0,False,False,False,missing features
C-b37401,A-dfbd31,2024-12-19,unknown,0.0,False,False,False,too expensive
C-cf17ca,A-e08cd3,2024-12-17,features,0.0,False,False,False,too expensive
C-149fc9,A-e1462e,2024-12-05,competitor,0.0,False,False,False,switched to competitor
C-3bf203,A-e19ff6,2024-06-27,competitor,0.0,False,False,False,switched to competitor
C-37929d,A-e1b9cd,2024-10-01,unknown,0.0,False,False,False,switched to competitor
C-1f8fd5,A-e351e1,2024-12-04,support,0.0,True,True,True,Non fourni
C-b3431e,A-e3bd71,2023-12-30,support,0.0,False,True,False,switched to competitor
C-3db212,A-e40f45,2024-11-09,budget,101.23,False,False,False,missing features
C-2d03fc,A-e43bf7,2023-06-24,pricing,0.0,False,False,False,missing features
C-ea6df1,A-e51ec7,2024-04-07,budget,0.0,False,False,False,switched to competitor
C-22f536,A-e5d6ab,2024-05-11,competitor,0.0,True,False,False,Non fourni
C-53546c,A-e61e98,2024-10-19,features,0.0,False,True,False,switched to competitor
C-25c0d2,A-e693b6,2024-10-10,budget,0.0,False,True,False,missing features
C-e2ecb7,A-e7a1e2,2024-12-11,features,0.0,False,False,False,Non fourni
C-c179a3,A-e7beab,2024-04-25,features,0.0,False,True,False,missing features
C-2de339,A-e83938,2024-12-29,budget,13.5,False,False,False,Non fourni
C-d7ded6,A-e888d1,2024-11-29,features,6.38,False,False,False,switched to competitor
C-f68651,A-eafc6e,2024-12-12,unknown,0.0,False,False,False,Non fourni
C-3091b6,A-eb1312,2024-10-03,unknown,0.0,False,False,False,Non fourni
C-cfb464,A-eb2fdc,2024-05-26,competitor,0.0,False,False,False,missing features
C-cfa54b,A-eb7c38,2024-03-22,budget,6.26,False,True,False,Non fourni
C-9fd0cf,A-eb7fac,2024-07-22,unknown,0.0,False,False,False,switched to competitor
C-75e17f,A-ed510f,2023-05-05,budget,0.0,False,False,False,too expensive
C-ca1379,A-ee42db,2024-11-12,unknown,23.52,False,False,False,Non fourni
C-7ab794,A-ef84cf,2024-11-20,support,0.0,False,False,False,too expensive
C-ab36fc,A-f03140,2024-10-03,competitor,0.0,False,False,False,missing features
C-05224a,A-f17767,2023-05-03,pricing,0.0,True,False,False,Non fourni
C-71ff03,A-f19409,2023-05-25,features,0.0,False,True,False,too expensive
C-a24d30,A-f1f639,2024-04-07,budget,0.0,False,False,False,Non fourni
C-785e8e,A-f25509,2024-11-10,features,0.0,False,False,False,Non fourni
C-cc0058,A-f3ff05,2024-10-20,unknown,0.0,False,False,False,too expensive
C-992f28,A-f44180,2023-04-29,competitor,38.15,False,False,False,too expensive
C-4f7342,A-f45426,2024-11-13,pricing,0.0,False,False,False,switched to competitor
C-fe3853,A-f51f16,2024-12-07,competitor,0.0,True,True,False,too expensive
C-9d9bff,A-f5641b,2024-06-17,features,0.0,False,False,False,too expensive
C-437da0,A-f6b2fb,2024-07-11,support,0.0,True,False,False,Non fourni
C-f6fba0,A-f92792,2024-11-03,features,0.0,False,False,True,Non fourni
C-21efb6,A-fa2041,2024-07-13,competitor,0.0,False,False,False,switched to competitor
C-8cce4c,A-fa3095,2023-12-23,support,0.0,False,False,False,missing features
C-8052a7,A-faa28c,2024-08-20,features,0.0,False,False,False,Non fourni
C-78a2bb,A-fce879,2024-12-03,features,0.0,True,False,False,switched to competitor
