account_id,industry,country,anciennete_mois,churn,nb_changements_plan,mrr_moyen,nb_sieges_max,downgrade_detecte,auto_renew_flag,est_enterprise,nb_tickets_total,nb_tickets_critiques,satisfaction_moyenne,delai_resolution_moyen,ratio_tickets_critiques,usage_total_count,nb_features_uniques,jours_depuis_derniere_activite,usage_moyen_3mois,tendance_usage
A-526d93,HealthTech,FR,5.4,1,1.0,3545.0,49.0,0.0,1.0,0.0,4.0,3.0,3.75,50.75,0.75,460,25,45,21.0,-10.0
A-f92792,FinTech,US,4.0,1,2.0,1999.6666666666667,35.0,1.0,1.0,0.0,1.0,0.0,4.0,70.0,0.0,484,31,9,14.666666666666666,-1.0
A-84ebe4,FinTech,US,10.3,1,0.0,2701.0,21.0,0.0,0.0,1.0,2.0,1.0,4.0,39.0,0.5,163,15,5,10.333333333333334,-7.5
A-5b4ebb,Cybersecurity,UK,5.7,0,1.0,2138.6923076923076,63.0,0.0,1.0,0.0,5.0,0.0,4.6,35.4,0.0,692,34,7,17.666666666666668,-9.0
A-2922b6,HealthTech,US,1.3,1,0.0,1937.8,51.0,0.0,1.0,1.0,2.0,2.0,4.0,15.5,1.0,393,27,7,25.666666666666668,7.0
A-9b9fe9,EdTech,AU,11.2,1,1.0,491.875,24.0,1.0,1.0,0.0,3.0,1.0,4.0,42.0,0.3333333333333333,460,28,16,24.333333333333332,3.5
A-a8b49c,Cybersecurity,UK,8.4,1,0.0,495.3333333333333,30.0,0.0,1.0,0.0,1.0,0.0,4.0,72.0,0.0,409,25,2,33.333333333333336,-9.5
A-9174e0,Cybersecurity,US,0.9,0,2.0,3598.4,68.0,0.0,1.0,1.0,2.0,1.0,4.5,39.0,0.5,689,34,3,18.333333333333332,1.0
A-a1bbb6,DevTools,CA,20.9,0,0.0,1800.25,28.0,0.0,1.0,0.0,3.0,3.0,4.0,17.666666666666668,1.0,366,23,2,19.333333333333332,23.0
A-c45b23,FinTech,UK,3.5,1,0.0,246.66666666666666,8.0,0.0,1.0,0.0,0.0,0.0,4.0,36.0,0.0,379,25,2,34.0,15.0
A-02cd81,HealthTech,IN,1.1,1,0.0,418.0,44.0,0.0,1.0,0.0,2.0,1.0,4.5,21.5,0.5,448,25,6,41.333333333333336,8.5
A-ee42db,EdTech,DE,18.6,1,2.0,999.7272727272727,115.0,1.0,1.0,0.0,4.0,2.0,3.75,33.75,0.5,457,29,1,27.0,18.0
A-432483,Cybersecurity,US,22.8,0,1.0,2868.1111111111113,60.0,0.0,1.0,0.0,1.0,1.0,4.0,51.0,1.0,451,25,20,24.666666666666668,8.0
A-9208f0,EdTech,US,18.0,1,1.0,438.875,49.0,0.0,1.0,0.0,7.0,1.0,3.857142857142857,37.57142857142857,0.14285714285714285,495,27,27,15.333333333333334,-12.5
A-98a59a,FinTech,UK,13.3,1,3.0,2821.0,148.0,1.0,0.0,1.0,2.0,1.0,4.5,42.5,0.5,405,27,32,23.0,-19.0
A-fe79a5,HealthTech,IN,10.3,0,2.0,1353.2,23.0,0.0,1.0,1.0,4.0,2.0,4.5,28.5,0.5,335,22,24,7.0,1.0
A-726cfa,DevTools,US,13.3,1,2.0,1337.642857142857,33.0,0.0,1.0,1.0,3.0,2.0,4.0,35.666666666666664,0.6666666666666666,808,37,3,36.333333333333336,4.5
A-c43359,FinTech,US,1.1,1,2.0,1655.7142857142858,38.0,1.0,1.0,0.0,3.0,3.0,4.0,26.666666666666668,1.0,432,27,13,15.666666666666666,-0.5
A-271f46,DevTools,US,18.0,1,0.0,1621.3333333333333,38.0,0.0,1.0,0.0,1.0,0.0,4.0,36.0,0.0,300,23,23,13.666666666666666,-0.5
A-157070,FinTech,US,13.6,1,3.0,1719.125,49.0,1.0,1.0,0.0,3.0,1.0,3.6666666666666665,42.333333333333336,0.3333333333333333,683,36,20,20.0,-5.0
A-40a557,Cybersecurity,AU,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.5,25.0,0.0,174,15,10,19.0,11.0
A-66224b,HealthTech,US,2.5,0,0.0,5765.333333333333,111.0,0.0,1.0,1.0,6.0,3.0,3.5,39.833333333333336,0.5,626,34,28,17.333333333333332,4.5
A-91e948,EdTech,AU,23.1,0,2.0,3127.714285714286,41.0,0.0,1.0,1.0,0.0,0.0,4.0,36.0,0.0,404,23,6,13.333333333333334,1.0
A-104f1a,Cybersecurity,US,3.8,1,0.0,1799.1666666666667,123.0,0.0,1.0,0.0,4.0,1.0,3.75,38.5,0.25,416,28,17,14.333333333333334,15.5
A-7988d1,Cybersecurity,US,12.2,1,0.0,1188.0,92.0,0.0,1.0,0.0,3.0,2.0,4.333333333333333,35.333333333333336,0.6666666666666666,449,31,1,30.0,3.5
A-faa28c,HealthTech,US,6.7,1,2.0,3601.7,65.0,0.0,1.0,1.0,3.0,2.0,4.666666666666667,51.666666666666664,0.6666666666666666,487,25,11,18.333333333333332,-4.0
A-f25509,EdTech,US,7.7,1,0.0,3759.75,47.0,0.0,1.0,0.0,6.0,4.0,4.333333333333333,42.666666666666664,0.6666666666666666,202,15,65,3.6666666666666665,-5.5
A-3a7284,FinTech,US,1.3,1,2.0,3090.909090909091,73.0,1.0,1.0,0.0,3.0,3.0,3.6666666666666665,56.333333333333336,1.0,609,33,4,35.0,14.5
A-3a5ad8,HealthTech,US,12.9,0,2.0,2207.769230769231,95.0,1.0,1.0,1.0,4.0,4.0,4.25,44.75,1.0,506,27,17,16.0,11.0
A-65a46c,HealthTech,US,13.9,0,2.0,2834.375,78.0,0.0,1.0,0.0,8.0,6.0,4.0,45.125,0.75,370,24,6,24.0,8.0
A-8b25f2,Cybersecurity,US,10.5,0,3.0,1080.6153846153845,47.0,1.0,1.0,1.0,2.0,0.0,4.0,35.5,0.0,565,29,5,25.333333333333332,-1.5
A-fabe19,DevTools,UK,1.7,0,2.0,2928.1428571428573,33.0,0.0,0.0,1.0,3.0,3.0,4.0,40.666666666666664,1.0,337,20,7,18.0,21.0
A-adc1f3,Cybersecurity,US,4.9,0,0.0,2956.4444444444443,50.0,0.0,1.0,1.0,3.0,2.0,3.6666666666666665,47.333333333333336,0.6666666666666666,334,24,10,18.0,-12.0
A-503d5a,FinTech,US,14.4,0,1.0,1490.3333333333333,56.0,1.0,0.0,1.0,9.0,4.0,4.0,36.55555555555556,0.4444444444444444,605,34,17,46.0,2.0
A-fd7ad3,Cybersecurity,US,2.0,1,2.0,383.1,29.0,0.0,1.0,0.0,8.0,4.0,4.125,48.75,0.5,567,31,36,15.333333333333334,-4.5
A-186a44,HealthTech,US,16.9,0,2.0,1499.2142857142858,47.0,1.0,1.0,0.0,7.0,5.0,3.7142857142857144,38.285714285714285,0.7142857142857143,614,30,35,30.666666666666668,-29.0
A-e888d1,Cybersecurity,US,20.1,1,1.0,1281.3,54.0,0.0,1.0,0.0,5.0,3.0,4.0,43.0,0.6,529,30,1,29.666666666666668,-18.5
A-69fad4,FinTech,UK,14.4,1,0.0,1245.857142857143,35.0,0.0,1.0,0.0,2.0,0.0,4.0,62.5,0.0,302,18,4,6.666666666666667,-3.0
A-9289f6,EdTech,US,2.8,1,1.0,323.0,22.0,0.0,1.0,0.0,2.0,0.0,4.5,42.5,0.0,284,21,2,38.666666666666664,18.0
A-f19409,DevTools,US,2.3,1,1.0,2156.0,44.0,0.0,1.0,0.0,2.0,0.0,4.0,9.0,0.0,73,7,11,20.666666666666668,8.0
A-22f2df,DevTools,US,0.6,0,2.0,827.8888888888889,61.0,1.0,1.0,0.0,5.0,5.0,4.2,44.8,1.0,429,25,23,15.0,0.0
A-039727,EdTech,AU,1.6,1,5.0,2428.0,64.0,1.0,1.0,1.0,0.0,0.0,4.0,36.0,0.0,761,33,14,22.0,3.5
A-2e3bad,FinTech,CA,7.6,1,0.0,4529.25,61.0,0.0,1.0,1.0,4.0,2.0,3.75,34.75,0.5,335,21,8,16.666666666666668,-4.5
A-484819,HealthTech,US,10.2,1,1.0,2502.0,18.0,0.0,1.0,0.0,2.0,2.0,4.5,17.0,1.0,174,15,32,8.666666666666666,-3.0
A-425e76,DevTools,UK,17.2,1,1.0,1555.5454545454545,71.0,0.0,1.0,1.0,5.0,3.0,3.6,48.2,0.6,405,27,21,21.0,6.5
A-e83938,DevTools,UK,13.3,1,2.0,937.875,54.0,0.0,0.0,0.0,4.0,0.0,3.75,31.0,0.0,266,22,14,8.0,-3.0
A-ad296b,DevTools,AU,5.6,0,0.0,3071.6666666666665,38.0,0.0,1.0,0.0,3.0,2.0,3.6666666666666665,28.333333333333332,0.6666666666666666,294,24,18,12.0,-10.5
A-e51ec7,FinTech,CA,6.5,1,1.0,2487.5,25.0,1.0,1.0,0.0,2.0,0.0,4.0,33.0,0.0,309,22,7,25.0,6.0
A-0aaf6e,FinTech,US,7.7,0,0.0,2676.0,88.0,0.0,1.0,1.0,5.0,1.0,4.0,45.0,0.2,599,25,9,32.333333333333336,-3.5
A-e61e98,FinTech,US,12.0,1,2.0,1498.2222222222222,40.0,0.0,1.0,1.0,5.0,2.0,4.6,35.4,0.4,509,31,29,44.0,-26.5
A-92a333,FinTech,US,21.3,0,1.0,1776.5,67.0,1.0,1.0,0.0,4.0,1.0,4.0,23.25,0.25,364,22,12,26.333333333333332,-16.0
A-95b24a,FinTech,US,18.9,0,5.0,2275.818181818182,47.0,1.0,1.0,0.0,5.0,4.0,4.2,21.2,0.8,611,32,1,30.333333333333332,2.5
A-42e5e1,DevTools,US,2.9,1,2.0,1012.0,53.0,1.0,1.0,0.0,3.0,2.0,4.0,29.0,0.6666666666666666,353,22,2,16.666666666666668,5.0
A-7d514c,HealthTech,DE,10.9,0,2.0,2697.1111111111113,43.0,0.0,1.0,1.0,3.0,2.0,4.333333333333333,33.333333333333336,0.6666666666666666,502,30,21,17.0,-11.0
A-65aeb5,DevTools,US,10.2,1,1.0,2866.0,63.0,1.0,1.0,0.0,2.0,1.0,4.5,42.5,0.5,503,30,8,25.333333333333332,-9.0
A-e2cd1b,DevTools,US,10.9,0,1.0,1394.2222222222222,119.0,0.0,1.0,1.0,5.0,3.0,4.0,37.8,0.6,465,29,7,20.0,-5.5
A-180abf,DevTools,US,13.0,1,1.0,5964.8,64.0,0.0,1.0,0.0,3.0,0.0,3.6666666666666665,36.333333333333336,0.0,425,28,9,24.0,0.5
A-f17767,DevTools,US,3.1,1,1.0,639.3333333333334,14.0,0.0,1.0,0.0,1.0,1.0,4.0,61.0,1.0,107,11,9,30.333333333333332,17.0
A-5a184f,DevTools,DE,14.8,1,1.0,2497.5,74.0,1.0,1.0,1.0,3.0,1.0,4.333333333333333,15.333333333333334,0.3333333333333333,471,27,21,36.0,-13.5
A-7df7a7,DevTools,US,17.4,1,2.0,1755.1666666666667,85.0,1.0,1.0,1.0,3.0,3.0,4.0,28.0,1.0,677,33,4,32.333333333333336,2.5
A-1ac5e0,DevTools,US,2.4,0,0.0,1824.9,33.0,0.0,0.0,1.0,7.0,4.0,3.857142857142857,40.42857142857143,0.5714285714285714,558,31,21,20.666666666666668,-17.5
A-52dd88,Cybersecurity,US,22.3,0,1.0,1508.3636363636363,30.0,0.0,1.0,0.0,1.0,0.0,4.0,72.0,0.0,516,28,40,18.333333333333332,-6.5
A-bece89,Cybersecurity,IN,7.9,1,1.0,3477.6,28.0,0.0,0.0,1.0,4.0,2.0,4.0,32.5,0.5,114,10,97,0.0,0.0
A-029f69,Cybersecurity,CA,9.3,1,2.0,964.4285714285714,27.0,0.0,1.0,0.0,2.0,1.0,3.5,42.0,0.5,767,37,25,11.0,-6.0
A-5c046d,EdTech,FR,5.9,0,0.0,10485.75,93.0,0.0,1.0,1.0,1.0,0.0,3.0,13.0,0.0,475,27,15,14.0,16.5
A-fb186e,EdTech,IN,2.2,0,0.0,1923.6666666666667,33.0,0.0,1.0,1.0,6.0,2.0,3.8333333333333335,26.166666666666668,0.3333333333333333,207,15,65,7.0,-10.5
A-ae052e,FinTech,CA,15.1,1,2.0,1538.6,40.0,1.0,1.0,0.0,4.0,2.0,4.0,31.25,0.5,300,24,13,9.0,0.5
A-9f9299,FinTech,US,13.2,1,0.0,3451.6363636363635,32.0,0.0,1.0,1.0,4.0,2.0,4.0,36.5,0.5,696,34,1,64.33333333333333,-1.0
A-96e141,DevTools,UK,13.4,1,0.0,2209.714285714286,40.0,0.0,1.0,1.0,5.0,3.0,4.2,32.8,0.6,291,24,59,9.0,-8.5
A-117171,HealthTech,FR,2.1,1,1.0,3270.0,45.0,1.0,1.0,0.0,5.0,2.0,3.8,29.2,0.4,201,15,13,6.333333333333333,-1.5
A-313be3,EdTech,US,4.2,1,0.0,3885.3333333333335,47.0,0.0,0.0,1.0,3.0,3.0,4.0,17.0,1.0,350,24,3,16.0,14.0
A-671f31,DevTools,US,1.2,0,1.0,5064.166666666667,82.0,1.0,1.0,1.0,7.0,5.0,4.142857142857143,33.0,0.7142857142857143,167,13,7,8.333333333333334,3.5
A-bbc346,FinTech,US,2.2,1,4.0,2778.5,50.0,1.0,1.0,1.0,3.0,1.0,4.333333333333333,45.333333333333336,0.3333333333333333,627,34,5,42.666666666666664,-7.0
A-c16101,EdTech,IN,3.4,1,2.0,1342.111111111111,53.0,1.0,1.0,1.0,4.0,4.0,4.25,28.0,1.0,551,31,10,31.666666666666668,16.0
A-50f3f7,HealthTech,US,12.4,0,2.0,2938.4666666666667,117.0,1.0,1.0,1.0,6.0,2.0,4.5,37.833333333333336,0.3333333333333333,685,30,4,43.0,-7.5
A-7da956,Cybersecurity,US,7.0,0,3.0,913.5833333333334,26.0,1.0,1.0,1.0,3.0,1.0,4.333333333333333,32.666666666666664,0.3333333333333333,543,28,10,24.0,10.5
A-019782,DevTools,FR,20.5,0,1.0,928.1111111111111,17.0,0.0,0.0,1.0,2.0,2.0,3.5,10.0,1.0,562,28,12,21.333333333333332,2.5
A-df10db,DevTools,US,13.2,1,2.0,1008.4444444444445,68.0,0.0,0.0,0.0,1.0,0.0,3.0,68.0,0.0,474,28,1,22.0,15.0
A-3932db,HealthTech,CA,14.9,0,3.0,1565.2222222222222,58.0,1.0,1.0,1.0,6.0,3.0,4.166666666666667,41.0,0.5,434,28,11,33.0,3.0
A-4f18f0,DevTools,CA,7.4,1,1.0,2709.818181818182,59.0,1.0,0.0,1.0,5.0,2.0,4.0,39.2,0.4,525,32,6,10.0,7.0
A-4c6f11,FinTech,CA,10.7,1,1.0,1517.2,35.0,1.0,1.0,0.0,3.0,3.0,4.333333333333333,44.666666666666664,1.0,220,17,50,3.6666666666666665,0.0
A-8ae05d,FinTech,IN,4.8,1,0.0,1225.5,86.0,0.0,0.0,0.0,1.0,1.0,4.0,47.0,1.0,156,14,9,3.6666666666666665,5.5
A-b78bf8,DevTools,US,0.7,1,0.0,2359.5,33.0,0.0,1.0,0.0,4.0,2.0,4.5,18.0,0.5,405,24,4,13.666666666666666,4.0
A-eafc6e,DevTools,US,17.2,1,0.0,2318.4285714285716,76.0,0.0,1.0,0.0,1.0,0.0,4.0,64.0,0.0,300,23,12,14.0,-5.5
A-37f969,HealthTech,IN,14.0,1,2.0,2869.875,51.0,0.0,1.0,1.0,5.0,2.0,3.8,22.2,0.4,291,24,71,3.6666666666666665,-5.5
A-10b8f2,HealthTech,DE,16.8,1,0.0,2836.7,103.0,0.0,1.0,0.0,3.0,1.0,4.333333333333333,46.333333333333336,0.3333333333333333,368,21,63,12.666666666666666,-19.0
A-439b2f,DevTools,US,8.9,1,0.0,104.4,22.0,0.0,1.0,0.0,2.0,1.0,4.0,17.5,0.5,153,13,108,0.0,0.0
A-544d0a,DevTools,US,8.0,0,3.0,1849.2,64.0,1.0,0.0,1.0,2.0,1.0,4.0,38.5,0.5,510,27,14,31.333333333333332,5.0
A-ba6516,FinTech,US,4.6,1,1.0,1962.0,55.0,0.0,0.0,0.0,2.0,0.0,4.5,37.5,0.0,385,20,12,34.333333333333336,3.0
