account_id,churn_score,risk_level
A-7f29a7,0.96,High
A-089363,0.96,High
A-524364,0.24,Low
A-855a48,0.85,High
A-756192,0.13,Low
A-49b828,0.13,Low
A-c7ffc2,0.87,High
A-751c58,0.82,High
A-72799b,0.94,High
A-812c5b,0.92,High
A-69b156,0.22,Low
A-075038,0.9,High
A-940b8b,0.21,Low
A-2d1036,0.86,High
A-0f6450,0.86,High
A-9affe6,0.93,High
A-80eeb6,0.91,High
A-d4e0d4,0.26,Low
A-c7e58b,0.34,Low
A-016043,0.97,High
A-bbe56f,0.16,Low
A-7c5768,0.25,Low
A-751bd4,0.97,High
A-4e0e85,0.99,High
A-ad3abd,0.99,High
A-e19ff6,0.97,High
A-7920cc,0.16,Low
A-5a92e7,0.8,High
A-fdfc91,0.15,Low
A-1e50e0,0.89,High
A-1e1b80,0.82,High
A-659280,0.87,High
A-f6b2fb,0.88,High
A-cb6cc6,0.15,Low
A-d62e02,0.35,Low
A-d535f6,0.87,High
A-39868b,0.93,High
A-3cc791,0.96,High
A-337bc1,0.98,High
A-58b9ff,0.89,High
A-bf7919,0.98,High
A-1d5444,0.97,High
A-0f3e88,0.92,High
A-7641d3,0.9,High
A-cd458b,0.86,High
A-c16b88,0.92,High
A-59f724,0.3,Low
A-87aa7b,0.87,High
A-1e6fc3,0.97,High
A-39ddf4,0.87,High
A-34ea2f,0.86,High
A-716841,0.98,High
A-558c72,0.91,High
A-b11cd0,0.18,Low
A-cc1d8d,0.9,High
A-7f4db3,0.98,High
A-db5e9e,0.88,High
A-cc102e,0.97,High
A-82d8a6,0.92,High
A-dec005,0.9,High
A-5790f4,0.87,High
A-7c83a1,0.98,High
A-297a2d,0.23,Low
A-4c56c9,0.99,High
A-cbbe12,0.18,Low
A-4a267b,0.98,High
A-bcbe98,0.85,High
A-427b69,0.23,Low
A-0be015,0.91,High
A-054577,0.23,Low
A-bc87bc,0.18,Low
A-0f7d77,0.99,High
A-e7beab,0.85,High
A-a09355,0.93,High
A-31ab9a,0.86,High
A-0158bb,0.24,Low
A-f19b24,0.16,Low
A-798a3f,0.88,High
A-42b791,0.3,Low
A-068fc6,0.16,Low
A-6f50ae,0.99,High
A-a2485e,0.33,Low
A-bb1eaa,0.92,High
A-cc98bc,0.22,Low
A-d77f4c,0.84,High
A-ccabf0,0.91,High
A-700ade,0.32,Low
A-4a4c2d,0.13,Low
A-b7ef83,0.91,High
A-e08cd3,0.92,High
A-19b2c8,0.89,High
A-970c97,0.24,Low
A-6dee43,0.94,High
A-5ed98d,0.94,High
A-c58f49,0.96,High
A-9c18c4,0.19,Low
A-cc8c8f,0.95,High
A-5f7781,0.93,High
A-e1b9cd,0.85,High
A-ac85cd,0.87,High
A-d792a6,0.8,High
A-ac9111,0.89,High
A-18793f,0.92,High
A-9f0b68,0.88,High
A-d3c88e,0.97,High
A-ccb686,0.92,High
A-118f1c,0.9,High
A-0e966d,0.24,Low
A-b9f5b1,0.96,High
A-8ae3fc,0.91,High
A-55f257,0.15,Low
A-d26ab4,0.93,High
A-712533,0.88,High
A-781cc0,0.94,High
